Digits; Temperature(K); Φ0+ΔΦ; ΔΦ; ΔΦ/(Φ0+ΔΦ)*100% TempConverter(mode=withReferences, A=-338541.2083596479, B=3820.0, C=-0.4, u0=816.197375010689, ε0=1.0, τa=1.0, dPhi=0.0 Φs=-1.836868340061336e-05 Φa=-8.42135104789774e-06 Φw=-8.42135104789774e-06 Φwcalib=-8.42135104789774e-06 τw=1.0)
302; 273.20; 0.0015188620; 0.0000000000; 0.0000
303; 273.20; 0.0015159081; 0.0000000000; 0.0000
304; 273.20; 0.0015129543; 0.0000000000; 0.0000
305; 273.20; 0.0015100004; 0.0000000000; 0.0000
306; 273.20; 0.0015070466; 0.0000000000; 0.0000
307; 273.20; 0.0015040927; 0.0000000000; 0.0000
308; 273.20; 0.0015011389; 0.0000000000; 0.0000
309; 273.20; 0.0014981850; 0.0000000000; 0.0000
310; 273.20; 0.0014952312; 0.0000000000; 0.0000
311; 273.20; 0.0014922773; 0.0000000000; 0.0000
312; 273.20; 0.0014893235; 0.0000000000; 0.0000
313; 273.20; 0.0014863696; 0.0000000000; 0.0000
314; 273.20; 0.0014834158; 0.0000000000; 0.0000
315; 273.20; 0.0014804619; 0.0000000000; 0.0000
316; 273.20; 0.0014775081; 0.0000000000; 0.0000
317; 273.20; 0.0014745542; 0.0000000000; 0.0000
318; 273.20; 0.0014716004; 0.0000000000; 0.0000
319; 273.20; 0.0014686465; 0.0000000000; 0.0000
320; 273.20; 0.0014656927; 0.0000000000; 0.0000
321; 273.20; 0.0014627388; 0.0000000000; 0.0000
322; 273.20; 0.0014597850; 0.0000000000; 0.0000
323; 273.20; 0.0014568311; 0.0000000000; 0.0000
324; 273.20; 0.0014538773; 0.0000000000; 0.0000
325; 273.20; 0.0014509234; 0.0000000000; 0.0000
326; 273.20; 0.0014479696; 0.0000000000; 0.0000
327; 273.20; 0.0014450157; 0.0000000000; 0.0000
328; 273.20; 0.0014420619; 0.0000000000; 0.0000
329; 273.20; 0.0014391080; 0.0000000000; 0.0000
330; 273.20; 0.0014361542; 0.0000000000; 0.0000
331; 273.20; 0.0014332003; 0.0000000000; 0.0000
332; 273.20; 0.0014302465; 0.0000000000; 0.0000
333; 273.20; 0.0014272926; 0.0000000000; 0.0000
334; 273.20; 0.0014243388; 0.0000000000; 0.0000
335; 273.20; 0.0014213849; 0.0000000000; 0.0000
336; 273.20; 0.0014184311; 0.0000000000; 0.0000
337; 273.20; 0.0014154772; 0.0000000000; 0.0000
338; 273.20; 0.0014125234; 0.0000000000; 0.0000
339; 273.20; 0.0014095695; 0.0000000000; 0.0000
340; 273.20; 0.0014066157; 0.0000000000; 0.0000
341; 273.20; 0.0014036618; 0.0000000000; 0.0000
342; 273.20; 0.0014007080; 0.0000000000; 0.0000
343; 273.20; 0.0013977541; 0.0000000000; 0.0000
344; 273.20; 0.0013948003; 0.0000000000; 0.0000
345; 273.20; 0.0013918464; 0.0000000000; 0.0000
346; 273.20; 0.0013888926; 0.0000000000; 0.0000
347; 273.20; 0.0013859387; 0.0000000000; 0.0000
