Digits; Temperature(K); Φ0+ΔΦ; ΔΦ; ΔΦ/(Φ0+ΔΦ)*100% TempConverter(mode=withReferences, A=-707092.6149255642, B=3780.0, C=-0.7, u0=821.5723191985746, ε0=0.78, τa=1.0, dPhi=0.0 Φs=-1.187956209280602e-05 Φa=-5.490972035131795e-06 Φw=-5.490972035131795e-06 Φwcalib=-5.490972035131795e-06 τw=1.0)
177; 273.20; 0.0011686938; -0.0000033506; -0.2867
178; 273.20; 0.0011668807; -0.0000033506; -0.2871
179; 273.20; 0.0011650676; -0.0000033506; -0.2876
180; 273.20; 0.0011632544; -0.0000033506; -0.2880
181; 273.20; 0.0011614413; -0.0000033506; -0.2885
182; 273.20; 0.0011596282; -0.0000033506; -0.2889
183; 273.20; 0.0011578150; -0.0000033506; -0.2894
184; 273.20; 0.0011560019; -0.0000033506; -0.2898
185; 273.20; 0.0011541888; -0.0000033506; -0.2903
186; 273.20; 0.0011523756; -0.0000033506; -0.2908
187; 273.20; 0.0011505625; -0.0000033506; -0.2912
188; 273.20; 0.0011487494; -0.0000033506; -0.2917
189; 273.20; 0.0011469363; -0.0000033506; -0.2921
190; 273.20; 0.0011451231; -0.0000033506; -0.2926
191; 273.20; 0.0011433100; -0.0000033506; -0.2931
192; 273.20; 0.0011414969; -0.0000033506; -0.2935
193; 273.20; 0.0011396837; -0.0000033506; -0.2940
194; 273.20; 0.0011378706; -0.0000033506; -0.2945
195; 273.20; 0.0011360575; -0.0000033506; -0.2949
196; 273.20; 0.0011342443; -0.0000033506; -0.2954
197; 273.20; 0.0011324312; -0.0000033506; -0.2959
198; 273.20; 0.0011306181; -0.0000033506; -0.2964
199; 273.20; 0.0011288049; -0.0000033506; -0.2968
200; 273.20; 0.0011269918; -0.0000033506; -0.2973
201; 273.20; 0.0011251787; -0.0000033506; -0.2978
202; 273.20; 0.0011233656; -0.0000033506; -0.2983
203; 273.20; 0.0011215524; -0.0000033506; -0.2988
204; 273.20; 0.0011197393; -0.0000033506; -0.2992
205; 273.20; 0.0011179262; -0.0000033506; -0.2997
206; 273.20; 0.0011161130; -0.0000033506; -0.3002
207; 273.20; 0.0011142999; -0.0000033506; -0.3007
208; 273.20; 0.0011124868; -0.0000033506; -0.3012
209; 273.20; 0.0011106736; -0.0000033506; -0.3017
210; 273.20; 0.0011088605; -0.0000033506; -0.3022
211; 273.20; 0.0011070474; -0.0000033506; -0.3027
212; 273.20; 0.0011052342; -0.0000033506; -0.3032
213; 273.20; 0.0011034211; -0.0000033506; -0.3037
214; 273.20; 0.0011016080; -0.0000033506; -0.3042
215; 273.20; 0.0010997949; -0.0000033506; -0.3047
216; 273.20; 0.0010979817; -0.0000033506; -0.3052
217; 273.20; 0.0010961686; -0.0000033506; -0.3057
218; 273.20; 0.0010943555; -0.0000033506; -0.3062
219; 273.20; 0.0010925423; -0.0000033506; -0.3067
220; 273.20; 0.0010907292; -0.0000033506; -0.3072
221; 273.20; 0.0010889161; -0.0000033506; -0.3077
222; 273.20; 0.0010871029; -0.0000033506; -0.3082
223; 273.20; 0.0010852898; -0.0000033506; -0.3087
224; 273.20; 0.0010834767; -0.0000033506; -0.3092
225; 273.20; 0.0010816635; -0.0000033506; -0.3098
226; 273.20; 0.0010798504; -0.0000033506; -0.3103
227; 273.20; 0.0010780373; -0.0000033506; -0.3108
228; 273.20; 0.0010762242; -0.0000033506; -0.3113
229; 273.20; 0.0010744110; -0.0000033506; -0.3119
230; 273.20; 0.0010725979; -0.0000033506; -0.3124
231; 273.20; 0.0010707848; -0.0000033506; -0.3129
232; 273.20; 0.0010689716; -0.0000033506; -0.3134
233; 273.20; 0.0010671585; -0.0000033506; -0.3140
234; 273.20; 0.0010653454; -0.0000033506; -0.3145
235; 273.20; 0.0010635322; -0.0000033506; -0.3150
236; 273.20; 0.0010617191; -0.0000033506; -0.3156
237; 273.20; 0.0010599060; -0.0000033506; -0.3161
238; 273.20; 0.0010580928; -0.0000033506; -0.3167
239; 273.20; 0.0010562797; -0.0000033506; -0.3172
240; 273.20; 0.0010544666; -0.0000033506; -0.3178
241; 273.20; 0.0010526535; -0.0000033506; -0.3183
242; 273.20; 0.0010508403; -0.0000033506; -0.3189
243; 273.20; 0.0010490272; -0.0000033506; -0.3194
244; 273.20; 0.0010472141; -0.0000033506; -0.3200
245; 273.20; 0.0010454009; -0.0000033506; -0.3205
246; 273.20; 0.0010435878; -0.0000033506; -0.3211
247; 273.20; 0.0010417747; -0.0000033506; -0.3216
248; 273.20; 0.0010399615; -0.0000033506; -0.3222
249; 273.20; 0.0010381484; -0.0000033506; -0.3228
250; 273.20; 0.0010363353; -0.0000033506; -0.3233
251; 273.20; 0.0010345222; -0.0000033506; -0.3239
252; 273.20; 0.0010327090; -0.0000033506; -0.3245
253; 273.20; 0.0010308959; -0.0000033506; -0.3250
254; 273.20; 0.0010290828; -0.0000033506; -0.3256
255; 273.20; 0.0010272696; -0.0000033506; -0.3262
256; 273.20; 0.0010254565; -0.0000033506; -0.3267
257; 273.20; 0.0010236434; -0.0000033506; -0.3273
258; 273.20; 0.0010218302; -0.0000033506; -0.3279
259; 273.20; 0.0010200171; -0.0000033506; -0.3285
260; 273.20; 0.0010182040; -0.0000033506; -0.3291
261; 273.20; 0.0010163908; -0.0000033506; -0.3297
262; 273.20; 0.0010145777; -0.0000033506; -0.3303
263; 273.20; 0.0010127646; -0.0000033506; -0.3308
264; 273.20; 0.0010109515; -0.0000033506; -0.3314
265; 273.20; 0.0010091383; -0.0000033506; -0.3320
266; 273.20; 0.0010073252; -0.0000033506; -0.3326
267; 273.20; 0.0010055121; -0.0000033506; -0.3332
268; 273.20; 0.0010036989; -0.0000033506; -0.3338
269; 273.20; 0.0010018858; -0.0000033506; -0.3344
270; 273.20; 0.0010000727; -0.0000033506; -0.3350
271; 273.20; 0.0009982595; -0.0000033506; -0.3356
272; 273.20; 0.0009964464; -0.0000033506; -0.3363
273; 273.20; 0.0009946333; -0.0000033506; -0.3369
274; 273.20; 0.0009928201; -0.0000033506; -0.3375
275; 273.20; 0.0009910070; -0.0000033506; -0.3381
276; 273.20; 0.0009891939; -0.0000033506; -0.3387
277; 273.20; 0.0009873808; -0.0000033506; -0.3393
278; 273.20; 0.0009855676; -0.0000033506; -0.3400
279; 273.20; 0.0009837545; -0.0000033506; -0.3406
280; 273.20; 0.0009819414; -0.0000033506; -0.3412
281; 273.20; 0.0009801282; -0.0000033506; -0.3419
282; 273.20; 0.0009783151; -0.0000033506; -0.3425
283; 273.20; 0.0009765020; -0.0000033506; -0.3431
284; 273.20; 0.0009746888; -0.0000033506; -0.3438
285; 273.20; 0.0009728757; -0.0000033506; -0.3444
286; 273.20; 0.0009710626; -0.0000033506; -0.3450
287; 273.20; 0.0009692494; -0.0000033506; -0.3457
288; 273.20; 0.0009674363; -0.0000033506; -0.3463
289; 273.20; 0.0009656232; -0.0000033506; -0.3470
290; 273.20; 0.0009638101; -0.0000033506; -0.3476
291; 273.20; 0.0009619969; -0.0000033506; -0.3483
292; 273.20; 0.0009601838; -0.0000033506; -0.3490
293; 273.20; 0.0009583707; -0.0000033506; -0.3496
294; 273.20; 0.0009565575; -0.0000033506; -0.3503
295; 273.20; 0.0009547444; -0.0000033506; -0.3509
296; 273.20; 0.0009529313; -0.0000033506; -0.3516
297; 273.20; 0.0009511181; -0.0000033506; -0.3523
298; 273.20; 0.0009493050; -0.0000033506; -0.3530
299; 273.20; 0.0009474919; -0.0000033506; -0.3536
